example_id,label,text
pos_001,1,"The acting is warm and the story stays engaging from start to finish."
pos_002,1,"A thoughtful review-worthy film with sharp dialogue and satisfying pacing."
pos_003,1,"The characters feel alive and the ending lands with real charm."
pos_004,1,"An enjoyable movie with bright performances and a generous sense of humor."
pos_005,1,"The script is clever and the emotional scenes are handled beautifully."
pos_006,1,"A confident, well made drama that held my attention throughout."
pos_007,1,"The film balances suspense and heart in a genuinely rewarding way."
pos_008,1,"A lively cast and careful direction make this easy to recommend."
pos_009,1,"The review is positive because the movie feels polished and sincere."
pos_010,1,"I found the story compelling, the performances strong, and the finale satisfying."
neg_001,0,"The plot is thin and the movie becomes dull long before the ending."
neg_002,0,"A frustrating film with wooden acting and a painfully slow middle."
neg_003,0,"The dialogue feels forced and the story never becomes convincing."
neg_004,0,"An uneven movie that wastes its cast on a predictable script."
neg_005,0,"The pacing drags, the jokes miss, and the final act feels careless."
neg_006,0,"A weak drama with flat characters and very little emotional payoff."
neg_007,0,"The film is hard to recommend because it feels scattered and lifeless."
neg_008,0,"A disappointing watch with clumsy direction and a forgettable story."
neg_009,0,"The review is negative because the movie feels messy and overlong."
neg_010,0,"I found the story tedious, the performances stiff, and the finale unsatisfying."
